item,calories,saturated fat (g),trans fat (g),sugar (g),protein (g),sodium (mg),price ($)
Frank�s RedHot� Original McCrispy,550,4.5,0.3,8,26,1120,7.39
,,,,,,,
Frank�s RedHot� Original McCrispy Bacon Deluxe,620,6,0.3,9,31,1370,9.19
,,,,,,,
Creamy Chipotle Chicken McWrap - Crispy,680,8,0.3,7,28,1020,9.79
,,,,,,,
Creamy Chipotle Chicken McWrap - Grilled,550,6,0.2,5,31,830,9.79
,,,,,,,
Sweet Chili Junior Chicken,410,4,0.2,11,12,710,3.89
,,,,,,,
Chicken McMuffin,360,6,0.2,2,14,730,3.79
,,,,,,,
McCrispy,520,4.5,0.3,8,29,840,8.39
,,,,,,,
Spicy McCrispy,510,3.5,0.2,9,29,870,8.79
,,,,,,,
Spicy McCrispy Bacon Deluxe,580,5,0.2,10,34,1120,11.19
,,,,,,,
McCrispy Bacon Deluxe,590,6,0.3,9,34,1090,10.79
,,,,,,,
Grilled Chicken Sandwich�,400,3,0.2,6,31,650,6.69
,,,,,,,
Bacon Deluxe Grilled Chicken Sandwich ,470,5,0.2,7,36,900,7.39
,,,,,,,
Spicy Grilled Chicken Sandwich,380,2.5,0.1,7,31,680,6.99
,,,,,,,
Spicy Bacon Deluxe Grilled Chicken Sandwich�,450,4,0.1,8,36,930,7.69
,,,,,,,
Spicy Habanero McChicken,470,4,0.2,7,16,680,7.99
,,,,,,,
Chicken McGriddles,360,4.5,0.1,14,10,960,4.49
,,,,,,,
McChicken,480,4.5,0.3,6,16,650,5.39
,,,,,,,
Junior Chicken,380,3.5,0.2,5,12,570,3.89
,,,,,,,
4 Chicken McNuggets,170,1.5,0,0,10,300,5.19
,,,,,,,
6 Chicken McNuggets,250,2.5,0.1,0,16,450,7.79
,,,,,,,
10 Chicken McNuggets,410,4,0.2,0,26,750,10.79
,,,,,,,
20 Chicken McNuggets (Serves 2),830,8,0.4,0,52,1490,17.99
,,,,,,,
Chicken Snack Wrap Happy Meal with Crispy Chicken ,290,3.5,0.1,1,14,410,5.99
,,,,,,,
Spicy Buffalo Chicken Snack Wrap with Grilled Chicken,240,4.5,0.2,0,18,550,4.19
,,,,,,,
Spicy Buffalo Chicken Snack Wrap with Crispy Chicken,310,5,0.2,1,17,650,4.19
,,,,,,,
Sweet Chili McWrap - Grilled,460,5,0.2,11,30,840,10.19
,,,,,,,
Sweet Chili McWrap - Crispy,590,6,0.2,13,28,1030,10.19
,,,,,,,
Chicken N Bacon McWrap - Crispy,610,8,0.3,6,31,1040,10.19
,,,,,,,
Chicken N Bacon McWrap - Grilled,480,6,0.2,4,33,850,10.19
,,,,,,,
Ranch Chicken Snack Wrap with Grilled Chicken,260,4.5,0.1,1,18,420,4.19
,,,,,,,
Ranch Chicken Snack Wrap with Crispy Chicken,320,5,0.2,2,17,510,4.19
,,,,,,,
Salted Caramel McFlurry,640,8,0.4,103,10,1170,5.29
,,,,,,,
Baked Salted Caramel Pie,310,10,0.2,16,2,260,1.59
,,,,,,,
Strawberry Sundae,310,4,0.2,52,5,140,3.49
,,,,,,,
Vanilla Cone,240,4,0.2,30,6,150,2.19
,,,,,,,
Hot Fudge Sundae,340,8,0.2,48,7,230,3.19
,,,,,,,
Hot Caramel Sundae,340,5,0.2,45,6,200,3.19
,,,,,,,
OREO� McFlurry,570,12,0.4,68,11,410,4.49
,,,,,,,
SKOR� McFlurry,540,13,0.5,71,10,340,4.49
,,,,,,,
SMARTIES� McFlurry,600,11,0.4,87,12,290,4.49
,,,,,,,
Chocolate Triple Thick Milkshake,760,11,0.5,107,15,520,4.19
,,,,,,,
Vanilla Triple Thick Milkshake,750,11,0.5,97,15,400,4.19
,,,,,,,
Strawberry Triple Thick Milkshake,740,11,0.5,108,15,390,4.19
,,,,,,,
Yogurt Tube,25,0,0,3,1,10,1.49
,,,,,,,
Baked Apple Pie,270,7,0.1,12,3,180,1.59
,,,,,,,
Grilled Cheese Happy Meal,410,7,0.3,26,21,740,4.89
,,,,,,,
Lettuce and Tomato Snack Wrap Happy Meal,340,4,0,22,14,300,4.89
,,,,,,,
4 Chicken McNuggets Happy Meal,330,3.5,0,21,21,430,5.69
,,,,,,,
Cheeseburger Happy Meal,690,9,0.3,29,27,980,5.29
,,,,,,,
Hamburger Happy Meal,410,5,0.2,28,22,620,5.29
,,,,,,,
Chicken Snack Wrap Happy Meal with Crispy Chicken ,460,5,0,23,24,550,5.39
,,,,,,,
Chicken Snack Wrap Happy Meal with Grilled Chicken,390,4.5,0,22,26,450,5.39
,,,,,,,
Hotcakes Happy Meal,520,3.5,0,36,19,730,5.39
,,,,,,,
Sweetened Cold Brew with Oat Beverage,130,0,0,23,1,40,2.59
,,,,,,,
McCaf� Premium Roast Brewed Oat Iced Coffee,130,0,0,23,0,35,2.59
,,,,,,,
Berry McPops,90,2,0,4,1,65,0.99
,,,,,,,
White Chocolate McPops,120,2.5,0,6,2,70,0.99
,,,,,,,
Hazelnut N Cocoa McPops,120,2,0,6,2,75,0.99
,,,,,,,
Cold Brew,5,0,0,0,0,5,2.59
,,,,,,,
Sweetened Cold Brew with Cream ,160,3.5,0.2,22,1,35,2.59
,,,,,,,
Caramel Cream Cold Brew,160,4,0.2,21,2,80,2.59
,,,,,,,
Cold Brew with Sugar-Free Syrup N Cream,70,3.5,0.2,1,1,55,2.59
,,,,,,,
French Vanilla Cream Cold Brew,160,4,0.2,20,2,65,2.59
,,,,,,,
Premium Roast Brewed Coffee,4,0,0,0,1,10,1.29
,,,,,,,
Premium Tea,0,0,0,0,0,5,1.89
,,,,,,,
Cappuccino - 2% milk,130,3,0.2,12,9,115,3.39
,,,,,,,
Latte - 2% milk,170,3.5,0.2,15,11,150,3.39
,,,,,,,
French Vanilla Latte - 2% milk,290,4.5,0.2,38,12,180,3.79
,,,,,,,
Latte with Sugar-Free Syrup - 2% milk,170,3.5,0.2,14,11,160,3.79
,,,,,,,
Caramel Latte - 2% milk,290,4,0.2,40,12,200,3.79
,,,,,,,
Mocha,340,7,0.3,43,13,170,3.49
,,,,,,,
Espresso,3,0,0,0,0,4,1.39
,,,,,,,
Double Espresso,5,0,0,0,0,10,1.99
,,,,,,,
Americano,4,0,0,0,0,5,2.39
,,,,,,,
Hot Chocolate,360,7,0.4,46,15,190,3.79
,,,,,,,
Higgins N Burke Hot Chocolate,200,6,0.3,23,4,250,3.79
,,,,,,,
Premium Roast Brewed Iced Coffee,170,4.5,0.3,22,2,45,2.59
,,,,,,,
French Vanilla Iced Coffee,200,6,0.3,20,3,80,2.99
,,,,,,,
Caramel Iced Coffee,180,5,0.3,21,3,90,2.99
,,,,,,,
Coffee Frapp�,520,15,1,62,9,200,2.99
,,,,,,,
Iced Coffee with Sugar-Free Syrup,100,6,0.3,2,2,65,2.99
,,,,,,,
McCaf� Vanilla Chai Frapp�,460,12,0.5,63,7,150,2.99
,,,,,,,
Banana Chocolate Chunk Muffin,440,3,0.1,42,7,400,2.79
,,,,,,,
Chocolate Brownie Muffin,380,3,0.1,33,6,360,2.69
,,,,,,,
Fruit N Fibre Muffin,380,1.5,0,31,7,480,2.89
,,,,,,,
Blueberry Muffin,430,1.5,0,31,7,360,2.89
,,,,,,,
Carrot Muffin,440,1.5,0,37,7,370,2.89
,,,,,,,
Cranberry Orange Muffin,380,1.5,0,37,5,410,2.89
,,,,,,,
Frank�s RedHot� Original McVeggie,480,3,0.2,10,11,1100,6.79
,,,,,,,
McVeggie,470,3,0.2,9,11,710,6.29
,,,,,,,
Spicy McVeggie,450,2.5,0.1,9,11,740,6.59
,,,,,,,
Filet-O-Fish,400,4,0.2,5,14,570,7.59
,,,,,,,
Double Filet-O-Fish,560,6,0.3,5,23,820,17.29
,,,,,,,
Chicken Snack Wrap Happy Meal with Crispy Chicken ,290,3.5,0.1,1,14,410,5.99
,,,,,,,
Chicken Snack Wrap Happy Meal with Grilled Chicken,220,3,0.1,0,15,320,5.99
,,,,,,,
Spicy Buffalo Chicken Snack Wrap with Grilled Chicken,240,4.5,0.2,0,18,550,4.19
,,,,,,,
Spicy Buffalo Chicken Snack Wrap with Crispy Chicken,310,5,0.2,1,17,650,4.19
,,,,,,,
Sweet Chili McWrap - Grilled,460,5,0.2,11,30,840,10.19
,,,,,,,
Sweet Chili McWrap - Crispy,590,6,0.2,13,28,1030,10.19
,,,,,,,
Chicken N Bacon McWrap - Crispy,610,8,0.3,6,31,1040,10.19
,,,,,,,
Chicken N Bacon McWrap - Grilled,480,6,0.2,4,33,850,10.19
,,,,,,,
Ranch Chicken Snack Wrap with Grilled Chicken,260,4.5,0.1,1,18,420,4.19
,,,,,,,
Ranch Chicken Snack Wrap with Crispy Chicken,320,5,0.2,2,17,510,4.19
,,,,,,,
Chewy Chocolate Chunk Cookie,240,5,0.1,20,3,140,1.49
,,,,,,,
Rainbow Sprinkle Cookie,240,6,0.1,20,3,150,1.49
,,,,,,,
Apple Slices,35,0,0,7,0,2,1.19
,,,,,,,
World Famous Fries,350,2,0.2,0,4,260,4.59
,,,,,,,
Poutine,870,13,1,9,21,3170,5.19
